tracking_id	shCtrl-1_0	shCtrl-2_0	shU-1_0	shU-2_0
ENSMUSG00000001507.9	73.7302	73.219	224.624	241.444
ENSMUSG00000001508.9	0	0.0275856	0	0
ENSMUSG00000001510.7	0.0122727	0.0411313	0.0581725	0.41945
ENSMUSG00000001517.8	2.91401	2.99142	2.18643	2.01644
ENSMUSG00000001518.9	13.1142	12.2756	11.1871	10.7331
ENSMUSG00000001520.6	18.3605	18.4636	3.57498	3.96655
ENSMUSG00000001521.6	3.40245	3.45704	4.31796	5.47918
ENSMUSG00000001524.8	6.69804	6.40006	5.5106	4.96986
ENSMUSG00000001525.9	185.507	196.291	214.62	213.722
ENSMUSG00000001542.6	7.33195	6.41929	8.63368	9.40499
ENSMUSG00000001552.8	47.6028	52.1057	66.6312	71.8895
ENSMUSG00000001555.4	0.046726	0.0594194	0	0.0648978
ENSMUSG00000001558.4	6.7437	6.9911	6.99874	6.89398
ENSMUSG00000001566.8	0	0	0	0
ENSMUSG00000001569.9	12.6434	13.6063	14.4234	13.497
ENSMUSG00000001576.8	68.8094	65.3817	86.0227	88.9338
ENSMUSG00000001583.6	2.14403	2.40255	2.3938	2.78454
ENSMUSG00000001588.6	0.210195	0.179414	0.139813	0.20595
ENSMUSG00000001604.8	1.0257	0.388757	0.105769	0.239773
ENSMUSG00000001622.9	0.97405	0.754994	1.03465	0.835478
ENSMUSG00000001627.5	82.2506	69.4482	135.697	119.948
ENSMUSG00000001630.7	9.21815	9.13543	9.3671	8.77426
ENSMUSG00000001632.9	20.6067	20.046	23.4833	23.374
ENSMUSG00000001642.11	55.2439	48.4285	32.8548	26.7724
ENSMUSG00000001655.6	0	0	0	0
ENSMUSG00000001656.3	0	0	0	0
ENSMUSG00000001657.6	0	0	0	0.0168358
ENSMUSG00000001661.4	0.087703	0.0497706	0.0242403	0.0241466
ENSMUSG00000001663.4	105.018	109.493	2.55459	3.39506
ENSMUSG00000001665.4	13.9685	11.5561	2.90988	3.45541
ENSMUSG00000001666.8	52.5537	54.5107	23.369	22.6256
ENSMUSG00000001670.7	0.110115	0.123106	0	0.0667275
ENSMUSG00000001672.8	0.106556	0.0595503	0.0473723	0.0314157
ENSMUSG00000001674.5	22.8953	21.8266	37.084	32.4029
ENSMUSG00000001687.9	71.5346	71.6908	64.8288	63.2125
ENSMUSG00000001700.8	6.54322	6.67633	6.39694	6.36933
ENSMUSG00000001707.7	37.6079	38.6454	62.7523	49.7752
ENSMUSG00000001729.7	61.0034	63.2362	60.4577	58.4207
ENSMUSG00000001739.7	0.164161	0.204377	0.500097	0.431569
ENSMUSG00000001741.5	0.143099	0.0585829	0.329077	0.447725
ENSMUSG00000001750.9	74.5978	69.2807	68.3108	64.9756
ENSMUSG00000001751.8	27.3042	27.9467	18.1818	18.2444
ENSMUSG00000001755.6	32.9162	32.2292	39.8805	35.9745
ENSMUSG00000001761.6	52.2961	54.9253	38.5346	38.4224
ENSMUSG00000001763.8	3.14519	3.11532	1.73131	1.68407
ENSMUSG00000001767.5	15.3525	14.0252	29.3271	27.0421
ENSMUSG00000001768.9	4.6971	5.33352	3.24547	3.17225
ENSMUSG00000001773.7	0.0258365	0	0	0
ENSMUSG00000001774.7	68.3634	66.0765	62.402	61.9354
ENSMUSG00000001783.3	81.9697	82.6965	105.259	91.7064
ENSMUSG00000001785.5	15.869	15.3904	27.0165	24.5105
ENSMUSG00000001786.8	10.6462	9.56483	10.0384	10.1707
ENSMUSG00000001794.6	162.967	169.109	149.453	162.446
ENSMUSG00000001802.9	1.03683	0.668404	0.0467354	0.241012
ENSMUSG00000001804.8	0	0.010154	0	0
ENSMUSG00000001815.8	0	0	0	0
ENSMUSG00000001819.4	0	0	0.0155382	0
ENSMUSG00000001823.4	0	0	0.0146528	0
ENSMUSG00000001827.5	0	0	0	0
ENSMUSG00000001829.9	25.3075	24.6856	26.1908	23.1407
ENSMUSG00000001833.9	212.086	206.077	195.25	177.852
ENSMUSG00000001844.4	18.745	21.1985	13.2903	11.559
ENSMUSG00000001847.8	120.029	126.564	169.277	167.643
ENSMUSG00000001855.8	10.2707	11.7969	13.0445	17.521
ENSMUSG00000001864.7	15.1193	16.0422	7.17203	6.76813
ENSMUSG00000001865.1	0	0	0	0
ENSMUSG00000001870.8	4.2805	4.10651	1.86239	1.96025
ENSMUSG00000001891.10	103.37	102.21	51.5235	50.5175
ENSMUSG00000001901.8	0.0188468	0.0134066	0.0128257	0
ENSMUSG00000001909.7	32.5352	31.4217	26.3068	27.8315
ENSMUSG00000001910.4	16.0838	16.4162	14.0655	19.6643
ENSMUSG00000001911.9	4.56035	4.42312	2.77424	3.27153
ENSMUSG00000001918.10	6.62789	6.74736	7.17231	5.76689
ENSMUSG00000001924.9	161.297	158.933	230.529	256.726
ENSMUSG00000001930.10	0.0220675	0.0212445	0.0119589	0
ENSMUSG00000001942.7	12.2058	12.2041	12.4342	12.3156
ENSMUSG00000001943.6	0	0	0.0501212	0.170089
ENSMUSG00000001946.7	7.1553	7.34486	30.8287	31.5168
ENSMUSG00000001948.8	2.32304	3.84261	3.95638	2.35414
ENSMUSG00000001962.7	28.4275	26.6544	35.993	25.2631
ENSMUSG00000001964.8	20.977	21.9759	33.9559	31.9341
ENSMUSG00000001983.7	10.6585	10.0934	10.0291	8.75797
